id,city,state,country
c40f40f6-63f3-4426-a275-e10890320042,Xinyang,Henan,China
32d0b446-acfe-4101-8cb4-f1da1ae66c47,Luzhou,Sichuan,China
7381cb01-a1bd-4b7d-8133-32f2993259d4,Perth,Western Australia,Australia
57491cbe-cfdd-407f-81db-380a8c8df1bb,Toluca,México,Mexico
04369926-622a-4dd6-af5e-738dae0d29e1,Vishakhapatnam,Andhra Pradesh,India
4941d9d2-2b66-4be2-941f-68105bbd0807,Leeds,Leeds,United Kingdom
2b8cacee-6e18-4057-b3d1-a9f94f6fac3d,Kobe,Hyōgo,Japan
001129ba-c63a-4919-93e4-d9ecd76bad41,Columbus,Ohio,United States
68101b2f-fb63-401e-b0b1-47597d2606d8,Multan,Punjab,Pakistan
a58f2f5b-5742-4fa1-9761-44c8d369d1e0,Kochi,Kerala,India
af6a30df-75d6-485a-bff8-edd4903136ae,Montevideo,Montevideo,Uruguay
cabadcbf-05d4-4cc5-aca7-473ee7e4f07c,Gujranwala,Punjab,Pakistan
4140e427-4c61-4a71-9184-4df19f0be037,Niteroi,Rio de Janeiro,Brazil
b4433d0d-ef58-478d-af86-8e14dbb0d863,Ganzhou,Jiangxi,China
069012d8-e8cc-4993-b369-3f91914f52a3,Florence,Tuscany,Italy
14524c45-834a-4fef-83d1-bab05e002b01,Liuzhou,Guangxi,China
48cf54b6-c793-43ab-a06b-57d4305294d5,Bamako,Bamako,Mali
2d20661f-a792-4335-aa71-f7f5efc99a38,Conakry,Conakry,Guinea
2e5dffab-cc0e-4eaa-8988-5516f6d665c4,Bursa,Bursa,Turkey
1563f9fd-40af-4397-be0e-c7d01e166108,Leon de los Aldama,Guanajuato,Mexico
49d14981-6f09-4a9a-b1f1-60231e407bfd,Virginia Beach,Virginia,United States
f9a10e33-82ae-442e-962f-db5ef33e67a6,Nasik,Mahārāshtra,India
c93d7640-b9d7-454d-880c-65a7e4a5bf15,Fushun,Liaoning,China
696a8131-cbf5-4d49-8927-edf25f3096d4,Changde,Hunan,China
33a5ad3b-4226-406a-9fe8-1021bf7d286e,Daejeon,Daejeon,"Korea, South"
fda5e11c-90cd-410e-b2c3-10b8e9a1d58f,Charlotte,North Carolina,United States
d44cb696-c040-45f0-aa0d-c537f14eaddd,Phnom Penh,Phnom Penh,Cambodia
9a817cd9-6df5-4bf9-a738-6f14f2166c00,Neijiang,Sichuan,China
0b484d32-af34-4670-a37d-58fbba13ac74,Quanzhou,Fujian,China
bee691ed-a480-478a-a218-a53c8c141187,Kharkiv,Kharkivs’ka Oblast’,Ukraine
2a19af06-c8f4-42e6-bfda-90c8fb20d108,Hyderabad City,Sindh,Pakistan
